p                    e                    inc                  ape                  ran                  mass                 time                 true longitude       
0.03252488737        0.7137410331         0.4651422684         2.799940171e-05      -0.0001113590086     1191.01609           5.890807856          82.04792814         
0.03253519144        0.7138863679         0.4651297632         0.0003859017027      -7.784196983e-05     1190.955811          5.93033352           83.79325739         
0.03274824763        0.7122288072         0.4626211155         0.0005735169166      7.085238959e-05      1190.413477          6.285945266          85.53858664         
0.03277050925        0.712314983          0.4625465738         4.324004275e-05      -0.0001228850799     1190.314297          6.350978391          87.28391589         
0.03277330245        0.7124440916         0.4625381706         7.603292767e-05      -0.0001271954089     1190.287479          6.368563131          89.02924514         
0.03283304031        0.7122254125         0.4620772268         0.0007279189656      0.0005293256147      1190.090883          6.497472556          90.7745744          
0.03301625572        0.7108543646         0.4599309493         0.0002255000215      -0.0001412374686     1189.623228          6.804116549          92.51990365         
0.03302151485        0.7110040972         0.4599247758         2.689423124e-05      -0.0001297554963     1189.583739          6.83001008           94.2652329          
0.03302707207        0.7111549071         0.4599186972         0.0002383695497      -0.0001400878983     1189.542902          6.856786936          96.01056215         
0.03321630874        0.7097332288         0.4577038919         0.0007314969078      0.0004809427041      1189.063579          7.171082228          97.7558914          
0.0332726476         0.7095534066         0.4572942591         7.793017409e-05      -0.0001467061407     1188.876148          7.293982151          99.50122066         
0.03327555324        0.7096863805         0.4572852411         5.00637556e-05       -0.0001429080488     1188.848809          7.31190832           101.2465499         
0.03330090211        0.7097591262         0.4571922976         0.0006106367553      9.0331938e-05        1188.741463          7.382295803          102.9918792         
0.03351948153        0.7080756008         0.4546491392         0.0003992714575      -0.0001227124254     1188.195727          7.740138761          104.7372084         
0.03352995791        0.708230422          0.4546374671         3.4976112e-05        -0.0001502665146     1188.13562           7.779551064          106.4825377         
0.03353371174        0.7083739354         0.4546292562         0.0001451912263      -0.000162826101      1188.103684          7.800491896          108.2278669         
0.0336632803         0.7075294922         0.4532521205         0.0007645685773      0.0008360326304      1187.757099          8.027749508          109.9731962         
0.03378634739        0.7067493148         0.4519709206         0.0001417458229      -0.0001730137769     1187.424638          8.245746285          111.7185254         
0.03379007533        0.7068940304         0.4519622665         3.798868105e-05      -0.0001606166107     1187.39292           8.266544205          113.4638547         
0.03380164628        0.7070485903         0.4519481021         0.0004273698288      -0.0001227763942     1187.32917           8.308345701          115.2091839         
0.03402603773        0.7053278013         0.4493604245         0.0006186194216      4.282683251e-05      1186.776002          8.671061442          116.9545132         
0.03405066289        0.7054165434         0.449279341          5.49022038e-05       -0.0001734087045     1186.671851          8.739353843          118.6998424         
0.03405382931        0.7055566001         0.4492694183         9.160705892e-05      -0.0001786167718     1186.64324           8.758114171          120.4451717         
0.03411829159        0.7053235043         0.4487844654         0.0007598025895      0.0005366735275      1186.439417          8.891762645          122.1905009         
0.03431134369        0.7039022306         0.4465754078         0.0002565773141      -0.000194445682      1185.962065          9.204765282          123.9358302         
0.03431730375        0.7040636513         0.4465681262         3.637305096e-05      -0.0001805383603     1185.920068          9.232302958          125.6811594         
0.03432360044        0.7042261047         0.4465609613         0.0002706018982      -0.000193093667      1185.87665           9.260772374          127.4264887         
0.0345230591         0.7027516478         0.4442811685         0.0007655729742      0.0004856214742      1185.387405          9.581573203          129.1718179         
0.0345840402         0.7025586204         0.4438491816         9.345927977e-05      -0.0001998951088     1185.192783          9.709188695          130.9171472         
0.0345873367         0.7027029276         0.4438385014         6.222322768e-05      -0.0001952924995     1185.163597          9.728325812          132.6624764         
0.03461535294        0.702776875          0.4437376862         0.0006566139         6.475891063e-05      1185.05092           9.802209194          134.4078057         
0.03484593558        0.7010267717         0.4411150817         0.0004429780613      -0.0001719621464     1184.493998          10.16738619          136.1531349         
0.03485773782        0.7011916469         0.4411017444         4.506338041e-05      -0.0002029777612     1184.430333          10.20913199          137.8984642         
0.03486200101        0.7013471182         0.4410920184         0.0001683645741      -0.0002181899807     1184.396269          10.23146787          139.6437935         
0.03499952264        0.7004671259         0.4396698105         0.0007865082061      0.0008611867024      1184.040732          10.46459588          141.3891227         
0.03513033767        0.6996529182         0.4383453598         0.0001644717802      -0.0002293372965     1183.699369          10.68842944          143.134452          
0.03513457306        0.6998097594         0.4383350915         4.825261397e-05      -0.0002142927467     1183.665523          10.71062287          144.8797812         
0.03514760211        0.6999740037         0.4383189829         0.000472851248       -0.0001715293742     1183.598014          10.75488858          146.6251105         
0.03538458542        0.698183214          0.4356502498         0.0006670928633      1.327721086e-05      1183.033319          11.1251632           148.3704397         
0.03541189577        0.6982741041         0.4355619678         6.710329313e-05      -0.0002285803555     1182.92382           11.1969621           150.115769          
0.03541549302        0.6984261561         0.4355501631         0.0001083848482      -0.0002349299231     1182.893248          11.21700869          151.8610982         
0.03548524927        0.6981765673         0.4350399245         0.0007931166829      0.0005461031777      1182.681707          11.35571729          153.6064275         
0.03568927125        0.6966992026         0.4327665521         0.0002910830607      -0.0002529158241     1182.193997          11.67551216          155.3517567         
0.03569604523        0.696873283          0.4327578995         4.598518094e-05      -0.0002359155595     1182.149265          11.70484267          157.097086          
0.03570320068        0.6970483249         0.4327493918         0.0003063931058      -0.0002513164628     1182.103033          11.73515724          158.8424152         
0.03591406029        0.6955149679         0.4304029995         0.0008012553916      0.0004922008744      1181.603193          12.06290555          160.5877445         
0.03598025526        0.6953067089         0.4299473879         0.0001101549086      -0.0002582230893     1181.400881          12.19556303          162.3330737         
0.03598400321        0.6954634271         0.4299346396         7.496513477e-05      -0.0002525931508     1181.369672          12.21602731          164.078403          
0.03601505113        0.6955379515         0.4298251901         0.0007059190707      3.800278222e-05      1181.251254          12.29367458          165.8237322         
0.03625899909        0.6937139868         0.4271210073         0.0004911347291      -0.0002256638409     1180.68242           12.66666251          167.5690615         
0.03627233393        0.6938894172         0.42710569           5.53357432e-05       -0.0002605608765     1180.614888          12.71094355          169.3143907         
0.03627718822        0.6940579427         0.4270940776         0.000193949825       -0.0002791593949     1180.578494          12.73480743          171.05972           
0.03642361415        0.6931379274         0.4256253054         0.0008090681562      0.0008901898969      1180.213384          12.97421274          172.8050492         
0.03656310851        0.6922853632         0.42425611           0.0001895400887      -0.0002914086614     1179.862502          13.20428802          174.5503785         
0.03656793276        0.692455442          0.4242438268         5.870494721e-05      -0.000272975274      1179.826322          13.22801141          176.2957077         
0.03658264706        0.6926297738         0.4242254217         0.0005228973527      -0.0002246195671     1179.75473           13.27495518          178.041037          
0.03683366801        0.690761282          0.4214733678         0.0007192795335      -1.790359675e-05     1179.177754          13.65328166          179.7863662         
0.03686404218        0.6908537126         0.4213771356         7.981876496e-05      -0.0002890453629     1179.062483          13.7288661           181.5316955         
0.03686813768        0.6910188793         0.4213629729         0.0001265053114      -0.0002968655577     1179.029755          13.75032595          183.2770248         
